model_name,quantization,activation_precision,governor,prefill_len,decode_len,input_tokens,output_tokens,prefill_latency_s,decode_latency_s,prefill_tps,decode_tps,prefill_avg_power_w,decode_avg_power_w,prefill_energy_j,decode_energy_j,prefill_energy_per_token_in,decode_energy_per_token_out,prefill_tokens_per_s_per_w,decode_tokens_per_s_per_w,prefill_avg_cpu,prefill_peak_mem_gb,prefill_max_temp_c,prefill_freq_mean_mhz,prefill_freq_min_mhz,prefill_freq_max_mhz,prefill_throttled_any,decode_avg_cpu,decode_peak_mem_gb,decode_max_temp_c,decode_freq_mean_mhz,decode_freq_min_mhz,decode_freq_max_mhz,decode_throttled_any
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,128,199,128,53.8873655796051,134.3114514350891,3.692887894213854,0.9530088360474658,5.557262947368422,5.511818878005343,295.69810000000007,735.1250999999997,1.4859201005025129,5.743164843749998,0.6645155950309277,0.17290278529477868,99.73750000000001,1.19512939453125,87.3,1601.4698200975608,1500.009472,2201.030656,True,99.83621683967705,1.19512939453125,87.3,1636.1507695317184,1500.009472,2201.033984,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,157.98796820640564,119.41507530212402,2.7153966524813256,1.0718914649273203,5.551140085592012,5.5125157200811365,873.5769499999997,647.5975499999998,2.036309906759906,5.059355859374999,0.4891601744169886,0.19444687677217973,99.65284147557328,1.2170562744140625,87.8,1605.8242423449651,1500.009472,2256.029184,True,99.83792207792207,1.222503662109375,87.8,1623.1681452883117,1500.009472,2256.026112,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,128,199,128,0.7187464237213135,119.50984144210815,276.87094284195035,1.0710415013143881,5.4466125000000005,5.506668089430894,0.0,647.7588999999998,0.0,5.0606164062499985,50.83360397714181,0.1944990117290833,99.275,1.1904144287109375,86.2,1661.520096,1500.0128,2146.032,True,99.8439588688946,1.19439697265625,87.8,1661.4230327609255,1500.009472,2256.032768,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,128,199,128,0.3704488277435303,105.51657390594482,537.186205209892,1.213079569036201,5.385644444444444,5.526673752711497,0.0,575.3746499999999,0.0,4.495114453124999,99.74409019221942,0.2194954186396546,100.0,1.19512939453125,86.2,1500.016128,1500.0128,1500.019456,True,99.80014771048744,1.197601318359375,87.3,1617.894750912851,1500.009472,2256.019456,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,128,199,128,0.741607666015625,89.37684750556946,268.33595325295255,1.4321382278785764,5.579544444444445,5.5164541025641025,0.0,484.48479999999995,0.0,3.7850374999999996,48.09280684557227,0.2596120988685294,100.0,1.194427490234375,85.6,1500.0193920000002,1500.0128,1500.022656,True,99.78994800693242,1.1945953369140625,87.3,1624.984171590988,1500.009472,2256.026112,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,512,199,68,0.8044893741607666,49.27479410171509,247.3618749875899,1.3800159136054746,5.645811111111112,5.582380997624703,0.0,269.89855,0.0,3.9690963235294117,43.81334588059011,0.24720919517902304,100.0,1.1945953369140625,86.2,1984.5223680000001,1500.016128,2146.0288,True,99.75949367088607,1.1945953369140625,87.3,1640.0758229873418,1500.009472,2201.033984,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,128,199,128,0.39299440383911133,124.00331997871399,506.3685336381252,1.0322304275560692,0.0,5.566974346563408,0.0,688.4022000000002,0.0,5.378142187500002,0.0,0.18542036720418575,99.1,1.197601318359375,85.1,1500.017792,1500.016128,1500.019456,True,99.80879396984925,1.197784423828125,87.8,1626.3118896884423,1500.009472,2256.029184,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,2048,128,429,128,186.72583317756653,123.5707266330719,2.2974860666014187,1.03584403432441,5.540727562922038,5.540819539078156,1033.0937500000007,677.2483499999995,2.408143939393941,5.291002734374996,0.41465422013815517,0.18694780203882017,99.66361365528726,1.2233123779296875,87.3,1629.8102162864282,1500.009472,2256.03584,True,99.86234256926952,1.2234039306640625,87.3,1628.3261731788414,1500.009472,2311.02464,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,512,199,334,0.6175229549407959,266.3651649951935,322.25522696411963,1.2539177185801567,6.1147625,5.527848269820412,0.0,1461.7217499999995,0.0,4.376412425149699,52.701184545453664,0.22683649358213911,99.625,1.197784423828125,86.2,1823.0208,1500.016128,2146.0288,True,99.8114619883041,1.2062225341796875,87.8,1626.1329880327485,1500.009472,2256.022784,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,512,199,403,0.9505698680877686,395.91592741012573,209.3481044169031,1.0178928709340251,5.329075,5.5266552765321375,0.0,2182.203200000001,0.0,5.414896277915635,39.2841355051117,0.18417882426217327,100.0,1.1945953369140625,86.2,1949.0191786666667,1500.0128,2256.019456,True,99.83455476753349,1.206146240234375,87.8,1629.4351264680852,1500.009472,2311.02464,True
